file,position,overlap_area
Reslice of 4,96,730.0
Reslice of 4,97,497.0
Reslice of 4,98,313.0
Reslice of 4,99,570.0
Reslice of 5,0,4388.0
Reslice of 5,1,4425.0
Reslice of 5,2,2967.0
Reslice of 5,3,1322.0
Reslice of 5,4,615.0
Reslice of 5,5,1490.0
Reslice of 5,6,380.0
Reslice of 5,7,2603.0
Reslice of 5,8,1801.0
Reslice of 5,9,7417.0
Reslice of 5,10,8967.0
Reslice of 5,11,9488.0
Reslice of 5,12,11532.0
Reslice of 5,13,11481.0
Reslice of 5,14,11570.0
Reslice of 5,15,13127.0
Reslice of 5,16,14808.0
Reslice of 5,17,15166.0
Reslice of 5,18,14964.0
Reslice of 5,19,13851.0
Reslice of 5,20,12107.0
Reslice of 5,21,11064.0
Reslice of 5,22,9161.0
Reslice of 5,23,7234.0
Reslice of 5,24,3064.0
Reslice of 5,25,2796.0
Reslice of 5,26,79.0
Reslice of 5,27,1453.0
Reslice of 5,28,496.0
Reslice of 5,29,1009.0
Reslice of 5,30,1044.0
Reslice of 5,31,1900.0
Reslice of 5,32,2493.0
Reslice of 5,33,1833.0
Reslice of 5,34,2074.0
Reslice of 5,35,1064.0
Reslice of 5,36,536.0
Reslice of 5,37,71.0
Reslice of 5,38,2742.0
Reslice of 5,39,531.0
Reslice of 5,40,445.0
Reslice of 5,41,479.0
Reslice of 5,42,538.0
Reslice of 5,43,927.0
Reslice of 5,44,1212.0
Reslice of 5,45,1416.0
Reslice of 5,46,826.0
Reslice of 5,47,1856.0
Reslice of 5,48,3553.0
Reslice of 5,49,5308.0
Reslice of 5,50,5680.0
Reslice of 5,51,4570.0
Reslice of 5,52,3059.0
Reslice of 5,53,2022.0
Reslice of 5,54,342.0
Reslice of 5,55,118.0
Reslice of 5,56,161.0
Reslice of 5,57,56.0
Reslice of 5,58,88.0
Reslice of 5,59,132.0
Reslice of 5,60,404.0
Reslice of 5,61,2109.0
Reslice of 5,62,413.0
Reslice of 5,63,94.0
Reslice of 5,64,238.0
Reslice of 5,65,451.0
Reslice of 5,66,827.0
Reslice of 5,67,9156.0
Reslice of 5,68,468.0
Reslice of 5,69,2338.0
Reslice of 5,70,3507.0
Reslice of 5,71,3881.0
Reslice of 5,72,4424.0
Reslice of 5,73,2869.0
Reslice of 5,74,1557.0
Reslice of 5,75,294.0
Reslice of 5,76,108.0
Reslice of 5,77,88.0
Reslice of 5,78,543.0
Reslice of 5,79,978.0
Reslice of 5,80,2316.0
Reslice of 5,81,2015.0
Reslice of 5,82,404.0
Reslice of 5,83,81.0
Reslice of 5,84,68.0
Reslice of 5,85,120.0
Reslice of 5,86,104.0
Reslice of 5,87,58.0
Reslice of 5,88,257.0
Reslice of 5,89,173.0
Reslice of 5,90,323.0
Reslice of 5,91,1996.0
Reslice of 5,92,6646.0
Reslice of 5,93,3258.0
Reslice of 5,94,1182.0
Reslice of 5,95,654.0
Reslice of 5,96,250.0
Reslice of 5,97,501.0
Reslice of 5,98,227.0
Reslice of 5,99,1407.0
Reslice of 6,0,2900.0
Reslice of 6,1,3433.0
Reslice of 6,2,111.0
Reslice of 6,3,27.0
Reslice of 6,4,138.0
Reslice of 6,5,40.0
Reslice of 6,6,18.0
Reslice of 6,7,427.0
Reslice of 6,8,16.0
Reslice of 6,9,196.0
Reslice of 6,10,51.0
Reslice of 6,11,198.0
Reslice of 6,12,387.0
Reslice of 6,13,1027.0
Reslice of 6,14,1614.0
Reslice of 6,15,5894.0
Reslice of 6,16,38.0
Reslice of 6,17,40.0
Reslice of 6,18,51.0
Reslice of 6,19,1289.0
Reslice of 6,20,4731.0
Reslice of 6,21,5890.0
Reslice of 6,22,6397.0
Reslice of 6,23,8621.0
Reslice of 6,24,6946.0
Reslice of 6,25,1661.0
Reslice of 6,26,4194.0
Reslice of 6,27,4162.0
Reslice of 6,28,4558.0
Reslice of 6,29,3131.0
Reslice of 6,30,917.0
Reslice of 6,31,102.0
Reslice of 6,32,165.0
Reslice of 6,33,325.0
Reslice of 6,34,445.0
Reslice of 6,35,100.0
Reslice of 6,36,54.0
Reslice of 6,37,140.0
Reslice of 6,38,106.0
Reslice of 6,39,102.0
Reslice of 6,40,173.0
Reslice of 6,41,107.0
Reslice of 6,42,82.0
Reslice of 6,43,240.0
Reslice of 6,44,10.0
Reslice of 6,45,8.0
Reslice of 6,46,138.0
Reslice of 6,47,1829.0
Reslice of 6,48,3391.0
Reslice of 6,49,2761.0
Reslice of 6,50,1030.0
Reslice of 6,51,424.0
Reslice of 6,52,42.0
Reslice of 6,53,224.0
Reslice of 6,54,44.0
Reslice of 6,55,143.0
Reslice of 6,56,9403.0
Reslice of 6,57,4842.0
Reslice of 6,58,5771.0
Reslice of 6,59,1546.0
Reslice of 6,60,124.0
Reslice of 6,61,26.0
Reslice of 6,62,147.0
Reslice of 6,63,97.0
Reslice of 6,64,781.0
Reslice of 6,65,2938.0
Reslice of 6,66,145.0
Reslice of 6,67,130.0
Reslice of 6,68,71.0
Reslice of 6,69,235.0
Reslice of 6,70,62.0
Reslice of 6,71,281.0
Reslice of 6,72,56.0
Reslice of 6,73,102.0
Reslice of 6,74,31.0
Reslice of 6,75,207.0
Reslice of 6,76,71.0
Reslice of 6,77,39.0
Reslice of 6,78,16.0
Reslice of 6,79,141.0
Reslice of 6,80,394.0
Reslice of 6,81,132.0
Reslice of 6,82,22.0
Reslice of 6,83,2491.0
Reslice of 6,84,2645.0
Reslice of 6,85,2259.0
Reslice of 6,86,89.0
Reslice of 6,87,297.0
Reslice of 6,88,0.0
Reslice of 6,89,491.0
Reslice of 6,90,132.0
Reslice of 6,91,60.0
Reslice of 6,92,103.0
Reslice of 6,93,132.0
Reslice of 6,94,1269.0
Reslice of 6,95,1597.0
Reslice of 6,96,824.0
Reslice of 6,97,92.0
Reslice of 6,98,181.0
Reslice of 6,99,235.0
Reslice of 7,0,36.0
Reslice of 7,1,64.0
Reslice of 7,2,324.0
