file,position,overlap_area
Reslice of 8,52,1495.0
Reslice of 8,53,712.0
Reslice of 8,54,1806.0
Reslice of 8,55,1619.0
Reslice of 8,56,3629.0
Reslice of 8,57,1683.0
Reslice of 8,58,2931.0
Reslice of 8,59,1923.0
Reslice of 8,60,549.0
Reslice of 8,61,10606.0
Reslice of 8,62,66855.0
Reslice of 8,63,84463.0
Reslice of 8,64,27442.0
Reslice of 8,65,6919.0
Reslice of 8,66,884.0
Reslice of 8,67,775.0
Reslice of 8,68,606.0
Reslice of 8,69,3557.0
Reslice of 8,70,632.0
Reslice of 8,71,6923.0
Reslice of 8,72,946.0
Reslice of 8,73,573.0
Reslice of 8,74,3721.0
Reslice of 8,75,863.0
Reslice of 8,76,2852.0
Reslice of 8,77,2628.0
Reslice of 8,78,964.0
Reslice of 8,79,12196.0
Reslice of 8,80,1201.0
Reslice of 8,81,1088.0
Reslice of 8,82,971.0
Reslice of 8,83,694.0
Reslice of 8,84,931.0
Reslice of 8,85,2023.0
Reslice of 8,86,750.0
Reslice of 8,87,2875.0
Reslice of 8,88,1454.0
Reslice of 8,89,4916.0
Reslice of 8,90,9356.0
Reslice of 8,91,1310.0
Reslice of 8,92,2107.0
Reslice of 8,93,6354.0
Reslice of 8,94,370.0
Reslice of 8,95,1354.0
Reslice of 8,96,302.0
Reslice of 8,97,4628.0
Reslice of 8,98,847.0
Reslice of 8,99,2790.0
Reslice of 9,0,6281.0
Reslice of 9,1,10593.0
Reslice of 9,2,16725.0
Reslice of 9,3,13106.0
Reslice of 9,4,7538.0
Reslice of 9,5,8052.0
Reslice of 9,6,32339.0
Reslice of 9,7,29609.0
Reslice of 9,8,14222.0
Reslice of 9,9,16271.0
Reslice of 9,10,4570.0
Reslice of 9,11,1870.0
Reslice of 9,12,1512.0
Reslice of 9,13,2881.0
Reslice of 9,14,1296.0
Reslice of 9,15,2461.0
Reslice of 9,16,2936.0
Reslice of 9,17,2969.0
Reslice of 9,18,3141.0
Reslice of 9,19,1379.0
Reslice of 9,20,2253.0
Reslice of 9,21,3974.0
Reslice of 9,22,2756.0
Reslice of 9,23,532.0
Reslice of 9,24,184.0
Reslice of 9,25,8889.0
Reslice of 9,26,5429.0
Reslice of 9,27,1929.0
Reslice of 9,28,2825.0
Reslice of 9,29,1709.0
Reslice of 9,30,1026.0
Reslice of 9,31,317.0
Reslice of 9,32,1518.0
Reslice of 9,33,3239.0
Reslice of 9,34,2551.0
Reslice of 9,35,12168.0
Reslice of 9,36,7541.0
Reslice of 9,37,6037.0
Reslice of 9,38,8603.0
Reslice of 9,39,8176.0
Reslice of 9,40,429.0
Reslice of 9,41,1313.0
Reslice of 9,42,1200.0
Reslice of 9,43,1332.0
Reslice of 9,44,1393.0
Reslice of 9,45,1185.0
Reslice of 9,46,641.0
Reslice of 9,47,1082.0
Reslice of 9,48,536.0
Reslice of 9,49,502.0
Reslice of 9,50,1848.0
Reslice of 9,51,2594.0
Reslice of 9,52,3680.0
Reslice of 9,53,29083.0
Reslice of 9,54,9819.0
Reslice of 9,55,2373.0
Reslice of 9,56,5406.0
Reslice of 9,57,5640.0
Reslice of 9,58,2110.0
Reslice of 9,59,530.0
Reslice of 9,60,715.0
Reslice of 9,61,3759.0
Reslice of 9,62,1484.0
Reslice of 9,63,27244.0
Reslice of 9,64,17933.0
Reslice of 9,65,1147.0
Reslice of 9,66,823.0
Reslice of 9,67,1262.0
Reslice of 9,68,1815.0
Reslice of 9,69,2863.0
Reslice of 9,70,14167.0
Reslice of 9,71,4387.0
Reslice of 9,72,2114.0
Reslice of 9,73,924.0
Reslice of 9,74,3056.0
Reslice of 9,75,2400.0
Reslice of 9,76,535.0
Reslice of 9,77,2407.0
Reslice of 9,78,1198.0
Reslice of 9,79,471.0
Reslice of 9,80,878.0
Reslice of 9,81,435.0
Reslice of 9,82,1467.0
Reslice of 9,83,7498.0
Reslice of 9,84,5518.0
Reslice of 9,85,4974.0
Reslice of 9,86,4613.0
Reslice of 9,87,15682.0
Reslice of 9,88,3804.0
Reslice of 9,89,1528.0
Reslice of 9,90,1306.0
Reslice of 9,91,912.0
Reslice of 9,92,1021.0
Reslice of 9,93,2543.0
Reslice of 9,94,8581.0
Reslice of 9,95,32024.0
Reslice of 9,96,54388.0
Reslice of 9,97,72576.0
Reslice of 9,98,26044.0
Reslice of 9,99,15645.0
