file,position,overlap_area
Reslice of 4,54,1135.0
Reslice of 4,55,3222.0
Reslice of 4,56,1698.0
Reslice of 4,57,5819.0
Reslice of 4,58,2975.0
Reslice of 4,59,1529.0
Reslice of 4,60,1038.0
Reslice of 4,61,4118.0
Reslice of 4,62,3377.0
Reslice of 4,63,272.0
Reslice of 4,64,5614.0
Reslice of 4,65,1852.0
Reslice of 4,66,4556.0
Reslice of 4,67,3426.0
Reslice of 4,68,3862.0
Reslice of 4,69,5573.0
Reslice of 4,70,13194.0
Reslice of 4,71,4082.0
Reslice of 4,72,7018.0
Reslice of 4,73,2371.0
Reslice of 4,74,5217.0
Reslice of 4,75,9014.0
Reslice of 4,76,3117.0
Reslice of 4,77,6162.0
Reslice of 4,78,8920.0
Reslice of 4,79,13320.0
Reslice of 4,80,18241.0
Reslice of 4,81,13756.0
Reslice of 4,82,98197.0
Reslice of 4,83,161542.0
Reslice of 4,84,78604.0
Reslice of 4,85,20099.0
Reslice of 4,86,21801.0
Reslice of 4,87,11999.0
Reslice of 4,88,3499.0
Reslice of 4,89,3934.0
Reslice of 4,90,4470.0
Reslice of 4,91,3196.0
Reslice of 4,92,4646.0
Reslice of 4,93,6793.0
Reslice of 4,94,4361.0
Reslice of 4,95,4242.0
Reslice of 4,96,7372.0
Reslice of 4,97,5398.0
Reslice of 4,98,4278.0
Reslice of 4,99,8641.0
Reslice of 5,0,41451.0
Reslice of 5,1,36360.0
Reslice of 5,2,30853.0
Reslice of 5,3,9088.0
Reslice of 5,4,4574.0
Reslice of 5,5,9896.0
Reslice of 5,6,8215.0
Reslice of 5,7,16625.0
Reslice of 5,8,29463.0
Reslice of 5,9,53722.0
Reslice of 5,10,75967.0
Reslice of 5,11,82937.0
Reslice of 5,12,95701.0
Reslice of 5,13,99117.0
Reslice of 5,14,100983.0
Reslice of 5,15,112424.0
Reslice of 5,16,128427.0
Reslice of 5,17,128919.0
Reslice of 5,18,125099.0
Reslice of 5,19,115375.0
Reslice of 5,20,105339.0
Reslice of 5,21,95017.0
Reslice of 5,22,82893.0
Reslice of 5,23,61095.0
Reslice of 5,24,37670.0
Reslice of 5,25,20531.0
Reslice of 5,26,1750.0
Reslice of 5,27,10858.0
Reslice of 5,28,4349.0
Reslice of 5,29,5378.0
Reslice of 5,30,8905.0
Reslice of 5,31,16231.0
Reslice of 5,32,22900.0
Reslice of 5,33,15111.0
Reslice of 5,34,21036.0
Reslice of 5,35,11152.0
Reslice of 5,36,5112.0
Reslice of 5,37,2835.0
Reslice of 5,38,13638.0
Reslice of 5,39,4236.0
Reslice of 5,40,2202.0
Reslice of 5,41,3350.0
Reslice of 5,42,4726.0
Reslice of 5,43,7713.0
Reslice of 5,44,10648.0
Reslice of 5,45,13460.0
Reslice of 5,46,9282.0
Reslice of 5,47,18754.0
Reslice of 5,48,32244.0
Reslice of 5,49,47178.0
Reslice of 5,50,41149.0
Reslice of 5,51,37156.0
Reslice of 5,52,28031.0
Reslice of 5,53,16033.0
Reslice of 5,54,4920.0
Reslice of 5,55,5391.0
Reslice of 5,56,2888.0
Reslice of 5,57,1100.0
Reslice of 5,58,4025.0
Reslice of 5,59,2398.0
Reslice of 5,60,3773.0
Reslice of 5,61,18370.0
Reslice of 5,62,8364.0
