file,position,overlap_number
Reslice of 6,47,2
Reslice of 6,48,8
Reslice of 6,49,9
Reslice of 6,50,10
Reslice of 6,51,6
Reslice of 6,52,8
Reslice of 6,53,9
Reslice of 6,54,8
Reslice of 6,55,6
Reslice of 6,56,4
Reslice of 6,57,3
Reslice of 6,58,4
Reslice of 6,59,5
Reslice of 6,60,10
Reslice of 6,61,5
Reslice of 6,62,5
Reslice of 6,63,6
Reslice of 6,64,1
Reslice of 6,65,1
Reslice of 6,66,7
Reslice of 6,67,14
Reslice of 6,68,7
Reslice of 6,69,12
Reslice of 6,70,6
Reslice of 6,71,10
Reslice of 6,72,14
Reslice of 6,73,9
Reslice of 6,74,7
Reslice of 6,75,13
Reslice of 6,76,18
Reslice of 6,77,10
Reslice of 6,78,19
Reslice of 6,79,12
Reslice of 6,80,21
Reslice of 6,81,12
Reslice of 6,82,10
Reslice of 6,83,3
Reslice of 6,84,5
Reslice of 6,85,8
Reslice of 6,86,7
Reslice of 6,87,8
Reslice of 6,88,14
Reslice of 6,89,18
Reslice of 6,90,10
Reslice of 6,91,9
Reslice of 6,92,11
Reslice of 6,93,11
Reslice of 6,94,7
Reslice of 6,95,7
Reslice of 6,96,6
Reslice of 6,97,6
Reslice of 6,98,12
Reslice of 6,99,16
Reslice of 7,0,12
Reslice of 7,1,22
Reslice of 7,2,11
Reslice of 7,3,6
Reslice of 7,4,12
Reslice of 7,5,14
Reslice of 7,6,8
Reslice of 7,7,18
Reslice of 7,8,23
Reslice of 7,9,15
Reslice of 7,10,15
Reslice of 7,11,23
Reslice of 7,12,22
Reslice of 7,13,23
Reslice of 7,14,22
Reslice of 7,15,29
Reslice of 7,16,18
Reslice of 7,17,17
Reslice of 7,18,14
Reslice of 7,19,16
Reslice of 7,20,15
Reslice of 7,21,12
Reslice of 7,22,14
Reslice of 7,23,18
Reslice of 7,24,16
Reslice of 7,25,23
Reslice of 7,26,20
Reslice of 7,27,16
Reslice of 7,28,16
Reslice of 7,29,13
Reslice of 7,30,10
Reslice of 7,31,27
Reslice of 7,32,20
Reslice of 7,33,16
Reslice of 7,34,14
Reslice of 7,35,16
Reslice of 7,36,24
Reslice of 7,37,24
Reslice of 7,38,28
Reslice of 7,39,11
Reslice of 7,40,23
Reslice of 7,41,16
Reslice of 7,42,28
Reslice of 7,43,16
Reslice of 7,44,27
Reslice of 7,45,21
Reslice of 7,46,8
Reslice of 7,47,8
Reslice of 7,48,9
